id,lang,bName,sNum,sProportion,langRank
343,Caribbean Creole: Caribbean Creole (all other),Brent,6,2.02E-05,85
344,Other European Language (non-national): Yiddish,Brent,1,3.36E-06,86
345,English (English or Welsh if in Wales),Bromley,280077,0.94207179,1
346,Other European Language (EU): Polish,Bromley,1597,0.0053717,2
347,French,Bromley,1056,0.00355198,3
348,Turkish,Bromley,803,0.00270098,4
349,Spanish,Bromley,798,0.00268417,5
350,Portuguese,Bromley,765,0.00257317,6
351,South Asian Language: Tamil,Bromley,684,0.00230071,7
352,East Asian Language: All other Chinese,Bromley,668,0.0022469,8
353,Other European Language (EU): Italian,Bromley,626,0.00210562,9
354,Russian,Bromley,558,0.0018769,10
355,Arabic,Bromley,542,0.00182308,11
356,South Asian Language: Gujarati,Bromley,542,0.00182308,12
357,South Asian Language: Bengali (with Sylheti and Chatgaya),Bromley,532,0.00178944,13
358,Other European Language (EU): German,Bromley,483,0.00162463,14
359,Other European Language (EU): Lithuanian,Bromley,455,0.00153045,15
360,East Asian Language: Tagalog-Filipino,Bromley,429,0.00144299,16
361,Other European Language (non EU): Albanian,Bromley,417,0.00140263,17
362,Other European Language (EU): Bulgarian,Bromley,336,0.00113018,18
363,Other European Language (EU): Romanian,Bromley,333,0.00112008,19
364,West or Central Asian Language: Persian-Farsi,Bromley,277,9.32E-04,20
365,South Asian Language: Urdu,Bromley,277,9.32E-04,21
366,South Asian Language: Hindi,Bromley,273,9.18E-04,22
367,East Asian Language: Cantonese Chinese,Bromley,235,7.90E-04,23
368,East Asian Language: Japanese,Bromley,235,7.90E-04,24
369,Other European Language (EU): Hungarian,Bromley,229,7.70E-04,25
370,African Language: Somali,Bromley,206,6.93E-04,26
371,Other European Language (EU): Greek,Bromley,194,6.53E-04,27
372,Other European Language (EU): Dutch,Bromley,188,6.32E-04,28
373,South Asian Language: Panjabi,Bromley,180,6.05E-04,29
374,African Language: Afrikaans,Bromley,167,5.62E-04,30
375,East Asian Language: Thai,Bromley,163,5.48E-04,31
376,African Language: Yoruba,Bromley,150,5.05E-04,32
