id,lang,bName,sNum,sProportion,langRank
1473,Portuguese,Hounslow,1952,0.00807529,11
1474,South Asian Language: Tamil,Hounslow,1776,0.00734719,12
1475,French,Hounslow,1470,0.00608129,13
1476,South Asian Language: Telugu,Hounslow,1370,0.0056676,14
1477,South Asian Language: Bengali (with Sylheti and Chatgaya),Hounslow,1237,0.00511739,15
1478,East Asian Language: Tagalog-Filipino,Hounslow,1174,0.00485676,16
1479,Spanish,Hounslow,1149,0.00475334,17
1480,Other European Language (EU): Lithuanian,Hounslow,981,0.00405833,18
1481,West-Central Asian Language: Pashto,Hounslow,944,0.00390526,19
1482,Other European Language (EU): Italian,Hounslow,845,0.00349571,20
1483,Russian,Hounslow,787,0.00325577,21
1484,Other European Language (EU): Romanian,Hounslow,732,0.00302823,22
1485,South Asian Language: South Asian Language (all other),Hounslow,732,0.00302823,23
1486,South Asian Language: Sinhala,Hounslow,675,0.00279243,24
1487,Other European Language (EU): Bulgarian,Hounslow,640,0.00264764,25
1488,East Asian Language: All other Chinese,Hounslow,640,0.00264764,26
1489,Other European Language (EU): German,Hounslow,588,0.00243252,27
1490,East Asian Language: East Asian Language (all other),Hounslow,514,0.00212638,28
1491,Other European Language (non EU): Albanian,Hounslow,493,0.00203951,29
1492,South Asian Language: Malayalam,Hounslow,464,0.00191954,30
1493,Other European Language (EU): Slovak,Hounslow,453,0.00187403,31
1494,South Asian Language: Marathi,Hounslow,448,0.00185335,32
1495,West or Central Asian Language: West or Central Asian Language (all other),Hounslow,404,0.00167132,33
1496,Other European Language (EU): Hungarian,Hounslow,350,0.00144793,34
1497,Turkish,Hounslow,344,0.0014231,35
1498,West Other European Language (non EU): Serbian-Croatian-Bosnianr Central Asian Language: West or Central Asian Language (all other),Hounslow,331,0.00136932,36
1499,West Central Asian Language: Kurdish,Hounslow,303,0.00125349,37
1500,Other Languages: All other languages,Hounslow,297,0.00122867,38
1501,East Asian Language: Cantonese Chinese,Hounslow,288,0.00119144,39
1502,African Language: African language (all other),Hounslow,275,0.00113766,40
1503,East Asian Language: Thai,Hounslow,270,0.00111697,41
1504,East Asian Language: Japanese,Hounslow,263,0.00108801,42
1505,Other European Language (EU): Latvian,Hounslow,257,0.00106319,43
1506,Other European Language (EU): Dutch,Hounslow,228,9.43E-04,44
1507,Other European Language (EU): Greek,Hounslow,224,9.27E-04,45
1508,African Language: Swahili-Kiswahili,Hounslow,224,9.27E-04,46
1509,Other European Language (EU): Czech,Hounslow,197,8.15E-04,47
1510,Other European Language (EU): Swedish,Hounslow,184,7.61E-04,48
1511,Other European Language (non EU): Ukrainian,Hounslow,154,6.37E-04,49
1512,African Language: Amharic,Hounslow,149,6.16E-04,50
1513,East Asian Language: Vietnamese,Hounslow,129,5.34E-04,51
1514,African Language: Akan,Hounslow,123,5.09E-04,52
1515,African Language: Shona,Hounslow,115,4.76E-04,53
1516,Sign Language: British sign language,Hounslow,113,4.67E-04,54
1517,African Language: West African language (all other),Hounslow,100,4.14E-04,55
1518,African Language: Luganda,Hounslow,99,4.10E-04,56
1519,East Asian Language: Mandarin Chinese,Hounslow,97,4.01E-04,57
1520,Other European Language (non EU): Northern European Language (non EU),Hounslow,86,3.56E-04,58
1521,Other European Language (EU): Danish,Hounslow,85,3.52E-04,59
1522,East Asian Language: Korean,Hounslow,81,3.35E-04,60
1523,African Language: Tigrinya,Hounslow,77,3.19E-04,61
1524,African Language: Any other Nigerian language,Hounslow,76,3.14E-04,62
1525,African Language: Igbo,Hounslow,65,2.69E-04,63
1526,Other European Language (EU): Finnish,Hounslow,64,2.65E-04,64
1527,African Language: Afrikaans,Hounslow,64,2.65E-04,65
1528,African Language: Yoruba,Hounslow,54,2.23E-04,66
1529,East Asian Language: Malay,Hounslow,48,1.99E-04,67
1530,Welsh Cymraeg (in England only),Hounslow,40,1.65E-04,68
1531,African Language: Lingala,Hounslow,39,1.61E-04,69
1532,Other European Language (EU): Estonian,Hounslow,26,1.08E-04,70
1533,Other European Language (EU): Maltese,Hounslow,24,9.93E-05,71
1534,Sign Language: Sign Language (all other),Hounslow,22,9.10E-05,72
1535,Other European Language (non EU): Any other Eastern European Language (non EU),Hounslow,21,8.69E-05,73
1536,West or Central Asian Language: Hebrew,Hounslow,21,8.69E-05,74
1537,Other UK language: Total,Hounslow,19,7.86E-05,75
1538,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari),Hounslow,16,6.62E-05,76
1539,Other European Language (EU): Slovenian,Hounslow,14,5.79E-05,77
1540,Other European Language (EU): Any other European Language (EU),Hounslow,14,5.79E-05,78
1541,North-South American language (any),Hounslow,12,4.96E-05,79
1542,Sign Language: Any Sign Communication System,Hounslow,12,4.96E-05,80
1543,African Language: Krio,Hounslow,9,3.72E-05,81
1544,Caribbean Creole: Caribbean Creole (English-based),Hounslow,5,2.07E-05,82
1545,Other European Language (non-national): Romani language (any),Hounslow,4,1.66E-05,83
1546,Oceanic - Australian language (any),Hounslow,3,1.24E-05,84
1547,Caribbean Creole: Caribbean Creole (all other),Hounslow,1,4.14E-06,85
1548,Other European Language (non-national): Yiddish,Hounslow,0,0,86
1549,English (English or Welsh if in Wales),Islington,159026,0.80142519,1
1550,Turkish,Islington,4194,0.02113602,2
1551,Spanish,Islington,3435,0.01731098,3
1552,French,Islington,3143,0.01583942,4
1553,Other European Language (EU): Italian,Islington,2464,0.01241754,5
1554,South Asian Language: Bengali (with Sylheti and Chatgaya),Islington,2315,0.01166664,6
1555,African Language: Somali,Islington,2197,0.01107197,7
1556,Other European Language (EU): Greek,Islington,1760,0.00886967,8
1557,Portuguese,Islington,1655,0.00834051,9
1558,Other European Language (EU): German,Islington,1549,0.00780632,10
1559,Other European Language (EU): Polish,Islington,1456,0.00733764,11
1560,Arabic,Islington,1439,0.00725196,12
1561,East Asian Language: All other Chinese,Islington,1323,0.00666737,13
1562,Other European Language (non EU): Albanian,Islington,742,0.00373937,14
1563,Russian,Islington,660,0.00332613,15
1564,African Language: Tigrinya,Islington,616,0.00310438,16
1565,West or Central Asian Language: Persian-Farsi,Islington,570,0.00287256,17
1566,East Asian Language: Japanese,Islington,557,0.00280705,18
1567,West Central Asian Language: Kurdish,Islington,543,0.0027365,19
1568,East Asian Language: Cantonese Chinese,Islington,524,0.00264074,20
1569,Other European Language (EU): Swedish,Islington,520,0.00262058,21
1570,African Language: Amharic,Islington,468,0.00235853,22
1571,East Asian Language: Tagalog-Filipino,Islington,406,0.00204607,23
1572,Other European Language (EU): Dutch,Islington,402,0.00202591,24
1573,Other European Language (EU): Hungarian,Islington,333,0.00167818,25
1574,Other European Language (non EU): Northern European Language (non EU),Islington,291,0.00146652,26
1575,Other European Language (EU): Bulgarian,Islington,265,0.00133549,27
1576,Other European Language (EU): Romanian,Islington,256,0.00129013,28
1577,South Asian Language: Gujarati,Islington,256,0.00129013,29
1578,South Asian Language: Urdu,Islington,228,0.00114903,30
1579,East Asian Language: Mandarin Chinese,Islington,221,0.00111375,31
1580,East Asian Language: Korean,Islington,221,0.00111375,32
1581,African Language: African language (all other),Islington,219,0.00110367,33
1582,East Asian Language: Thai,Islington,213,0.00107343,34
1583,East Asian Language: Vietnamese,Islington,212,0.00106839,35
1584,West or Central Asian Language: West or Central Asian Language (all other),Islington,204,0.00102808,36
1585,Other European Language (EU): Lithuanian,Islington,187,9.42E-04,37
1586,Other European Language (EU): Slovak,Islington,182,9.17E-04,38
1587,African Language: Akan,Islington,176,8.87E-04,39
1588,Other Languages: All other languages,Islington,175,8.82E-04,40
1589,West Other European Language (non EU): Serbian-Croatian-Bosnianr Central Asian Language: West or Central Asian Language (all other),Islington,173,8.72E-04,41
1590,Other European Language (EU): Czech,Islington,169,8.52E-04,42
1591,Other European Language (EU): Danish,Islington,168,8.47E-04,43
1592,African Language: Yoruba,Islington,167,8.42E-04,44
1593,African Language: Lingala,Islington,146,7.36E-04,45
1594,South Asian Language: Hindi,Islington,139,7.01E-04,46
1595,Other European Language (EU): Finnish,Islington,129,6.50E-04,47
1596,Sign Language: British sign language,Islington,124,6.25E-04,48
1597,South Asian Language: Tamil,Islington,111,5.59E-04,49
1598,African Language: Igbo,Islington,111,5.59E-04,50
1599,West or Central Asian Language: Hebrew,Islington,105,5.29E-04,51
1600,Other European Language (EU): Any other European Language (EU),Islington,104,5.24E-04,52
1601,East Asian Language: Malay,Islington,98,4.94E-04,53
1602,West-Central Asian Language: Pashto,Islington,93,4.69E-04,54
1603,South Asian Language: Panjabi,Islington,81,4.08E-04,55
1604,African Language: Swahili-Kiswahili,Islington,73,3.68E-04,56
1605,South Asian Language: South Asian Language (all other),Islington,69,3.48E-04,57
1606,East Asian Language: East Asian Language (all other),Islington,68,3.43E-04,58
1607,South Asian Language: Nepalese,Islington,63,3.17E-04,59
1608,Welsh Cymraeg (in England only),Islington,59,2.97E-04,60
1609,Other UK language: Total,Islington,57,2.87E-04,61
1610,Other European Language (EU): Latvian,Islington,56,2.82E-04,62
1611,African Language: West African language (all other),Islington,56,2.82E-04,63
1612,African Language: Afrikaans,Islington,55,2.77E-04,64
1613,Other European Language (non EU): Ukrainian,Islington,42,2.12E-04,65
1614,Other European Language (EU): Maltese,Islington,41,2.07E-04,66
1615,Other European Language (EU): Estonian,Islington,33,1.66E-04,67
1616,African Language: Shona,Islington,30,1.51E-04,68
1617,African Language: Any other Nigerian language,Islington,30,1.51E-04,69
1618,Other European Language (non EU): Any other Eastern European Language (non EU),Islington,26,1.31E-04,70
1619,African Language: Luganda,Islington,26,1.31E-04,71
1620,South Asian Language: Sinhala,Islington,25,1.26E-04,72
1621,Other European Language (EU): Slovenian,Islington,20,1.01E-04,73
1622,South Asian Language: Malayalam,Islington,16,8.06E-05,74
1623,South Asian Language: Marathi,Islington,13,6.55E-05,75
1624,Sign Language: Sign Language (all other),Islington,13,6.55E-05,76
1625,African Language: Krio,Islington,8,4.03E-05,77
1626,Sign Language: Any Sign Communication System,Islington,8,4.03E-05,78
1627,Other European Language (non-national): Yiddish,Islington,7,3.53E-05,79
1628,South Asian Language: Telugu,Islington,5,2.52E-05,80
1629,Caribbean Creole: Caribbean Creole (English-based),Islington,4,2.02E-05,81
1630,Oceanic - Australian language (any),Islington,3,1.51E-05,82
1631,North-South American language (any),Islington,2,1.01E-05,83
1632,Other European Language (non-national): Romani language (any),Islington,0,0,84
1633,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari),Islington,0,0,85
1634,Caribbean Creole: Caribbean Creole (all other),Islington,0,0,86
1635,French,Kensington and Chelsea,7470,0.04881874,2
1636,Arabic,Kensington and Chelsea,4447,0.02906251,3
1637,Spanish,Kensington and Chelsea,4150,0.02712152,4
1638,Other European Language (EU): Italian,Kensington and Chelsea,3733,0.0243963,5
1639,Portuguese,Kensington and Chelsea,2091,0.01366533,6
1640,Other European Language (EU): German,Kensington and Chelsea,2072,0.01354116,7
1641,East Asian Language: Tagalog-Filipino,Kensington and Chelsea,1387,0.00906447,8
1642,West or Central Asian Language: Persian-Farsi,Kensington and Chelsea,1364,0.00891416,9
1643,Russian,Kensington and Chelsea,1363,0.00890762,10
1644,Other European Language (EU): Swedish,Kensington and Chelsea,1111,0.00726073,11
1645,Other European Language (EU): Greek,Kensington and Chelsea,1067,0.00697317,12
1646,East Asian Language: All other Chinese,Kensington and Chelsea,963,0.0062935,13
1647,Other European Language (EU): Polish,Kensington and Chelsea,934,0.00610398,14
1648,East Asian Language: Japanese,Kensington and Chelsea,873,0.00570532,15
1649,Other European Language (EU): Dutch,Kensington and Chelsea,802,0.00524132,16
1650,Turkish,Kensington and Chelsea,698,0.00456164,17
1651,African Language: Somali,Kensington and Chelsea,572,0.0037382,18
1652,East Asian Language: Thai,Kensington and Chelsea,481,0.00314348,19
1653,Other European Language (non EU): Albanian,Kensington and Chelsea,480,0.00313695,20
1654,West Other European Language (non EU): Serbian-Croatian-Bosnianr Central Asian Language: West or Central Asian Language (all other),Kensington and Chelsea,430,0.00281018,21
1655,South Asian Language: Bengali (with Sylheti and Chatgaya),Kensington and Chelsea,390,0.00254877,22
1656,African Language: Tigrinya,Kensington and Chelsea,361,0.00235925,23
1657,Other European Language (EU): Danish,Kensington and Chelsea,349,0.00228082,24
1658,West Central Asian Language: Kurdish,Kensington and Chelsea,346,0.00226122,25
1659,West or Central Asian Language: West or Central Asian Language (all other),Kensington and Chelsea,346,0.00226122,26
1660,Other European Language (non EU): Northern European Language (non EU),Kensington and Chelsea,319,0.00208476,27
1661,African Language: Amharic,Kensington and Chelsea,316,0.00206516,28
1662,East Asian Language: East Asian Language (all other),Kensington and Chelsea,255,0.0016665,29
1663,South Asian Language: Urdu,Kensington and Chelsea,251,0.00164036,30
1664,East Asian Language: Cantonese Chinese,Kensington and Chelsea,215,0.00140509,31
1665,Other European Language (EU): Hungarian,Kensington and Chelsea,210,0.00137241,32
1666,Other European Language (EU): Bulgarian,Kensington and Chelsea,208,0.00135934,33
1667,Other European Language (EU): Romanian,Kensington and Chelsea,176,0.00115021,34
1668,East Asian Language: Mandarin Chinese,Kensington and Chelsea,164,0.00107179,35
1669,Other European Language (EU): Lithuanian,Kensington and Chelsea,148,9.67E-04,36
1670,East Asian Language: Korean,Kensington and Chelsea,147,9.61E-04,37
1671,Other European Language (EU): Finnish,Kensington and Chelsea,139,9.08E-04,38
1672,East Asian Language: Malay,Kensington and Chelsea,127,8.30E-04,39
1673,Other Languages: All other languages,Kensington and Chelsea,121,7.91E-04,40
1674,Other European Language (EU): Czech,Kensington and Chelsea,115,7.52E-04,41
1675,South Asian Language: Hindi,Kensington and Chelsea,112,7.32E-04,42
1676,African Language: African language (all other),Kensington and Chelsea,107,6.99E-04,43
1677,Other European Language (EU): Slovak,Kensington and Chelsea,103,6.73E-04,44
1678,Other European Language (EU): Any other European Language (EU),Kensington and Chelsea,100,6.54E-04,45
1679,East Asian Language: Vietnamese,Kensington and Chelsea,97,6.34E-04,46
1680,South Asian Language: Nepalese,Kensington and Chelsea,88,5.75E-04,47
1681,Other European Language (non EU): Ukrainian,Kensington and Chelsea,83,5.42E-04,48
1682,South Asian Language: South Asian Language (all other),Kensington and Chelsea,78,5.10E-04,49
1683,South Asian Language: Gujarati,Kensington and Chelsea,74,4.84E-04,50
1684,West or Central Asian Language: Hebrew,Kensington and Chelsea,62,4.05E-04,51
1685,South Asian Language: Sinhala,Kensington and Chelsea,51,3.33E-04,52
1686,African Language: Afrikaans,Kensington and Chelsea,47,3.07E-04,53
1687,Other European Language (non EU): Any other Eastern European Language (non EU),Kensington and Chelsea,44,2.88E-04,54
1688,Other European Language (EU): Latvian,Kensington and Chelsea,41,2.68E-04,55
1689,South Asian Language: Tamil,Kensington and Chelsea,39,2.55E-04,56
1690,African Language: Akan,Kensington and Chelsea,38,2.48E-04,57
1691,Other European Language (EU): Estonian,Kensington and Chelsea,36,2.35E-04,58
1692,African Language: Lingala,Kensington and Chelsea,34,2.22E-04,59
1693,Sign Language: British sign language,Kensington and Chelsea,32,2.09E-04,60
1694,Welsh Cymraeg (in England only),Kensington and Chelsea,31,2.03E-04,61
1695,South Asian Language: Panjabi,Kensington and Chelsea,30,1.96E-04,62
1696,African Language: Swahili-Kiswahili,Kensington and Chelsea,29,1.90E-04,63
1697,African Language: Yoruba,Kensington and Chelsea,26,1.70E-04,64
1698,Other European Language (EU): Slovenian,Kensington and Chelsea,22,1.44E-04,65
1699,African Language: Any other Nigerian language,Kensington and Chelsea,22,1.44E-04,66
1700,South Asian Language: Malayalam,Kensington and Chelsea,21,1.37E-04,67
1701,Other European Language (EU): Maltese,Kensington and Chelsea,20,1.31E-04,68
1702,West-Central Asian Language: Pashto,Kensington and Chelsea,18,1.18E-04,69
1703,Other UK language: Total,Kensington and Chelsea,16,1.05E-04,70
1704,African Language: West African language (all other),Kensington and Chelsea,15,9.80E-05,71
1705,African Language: Igbo,Kensington and Chelsea,14,9.15E-05,72
1706,African Language: Luganda,Kensington and Chelsea,13,8.50E-05,73
1707,Other European Language (non-national): Romani language (any),Kensington and Chelsea,10,6.54E-05,74
1708,Sign Language: Sign Language (all other),Kensington and Chelsea,10,6.54E-05,75
1709,Sign Language: Any Sign Communication System,Kensington and Chelsea,8,5.23E-05,76
1710,South Asian Language: Telugu,Kensington and Chelsea,4,2.61E-05,77
1711,South Asian Language: Marathi,Kensington and Chelsea,2,1.31E-05,78
1712,Oceanic - Australian language (any),Kensington and Chelsea,2,1.31E-05,79
1713,African Language: Shona,Kensington and Chelsea,2,1.31E-05,80
1714,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari),Kensington and Chelsea,1,6.54E-06,81
1715,Caribbean Creole: Caribbean Creole (English-based),Kensington and Chelsea,1,6.54E-06,82
1716,Caribbean Creole: Caribbean Creole (all other),Kensington and Chelsea,1,6.54E-06,83
1717,African Language: Krio,Kensington and Chelsea,1,6.54E-06,84
1718,Other European Language (non-national): Yiddish,Kensington and Chelsea,0,0,85
1719,North-South American language (any),Kensington and Chelsea,0,0,86
1720,English (English or Welsh if in Wales),Kingston upon Thames,128110,0.83575799,1
1721,South Asian Language: Tamil,Kingston upon Thames,2626,0.01713138,2
1722,East Asian Language: Korean,Kingston upon Thames,2613,0.01704657,3
1723,Other European Language (EU): Polish,Kingston upon Thames,1919,0.01251908,4
1724,Arabic,Kingston upon Thames,1518,0.00990306,5
1725,Other European Language (EU): German,Kingston upon Thames,1076,0.00701956,6
1726,South Asian Language: Urdu,Kingston upon Thames,1039,0.00677818,7
1727,Spanish,Kingston upon Thames,888,0.00579309,8
1728,West or Central Asian Language: Persian-Farsi,Kingston upon Thames,822,0.00536252,9
1729,Portuguese,Kingston upon Thames,814,0.00531033,10
1730,French,Kingston upon Thames,772,0.00503634,11
1731,East Asian Language: All other Chinese,Kingston upon Thames,709,0.00462534,12
1732,South Asian Language: Gujarati,Kingston upon Thames,681,0.00444268,13
1733,Other European Language (EU): Italian,Kingston upon Thames,648,0.00422739,14
1734,South Asian Language: Panjabi,Kingston upon Thames,620,0.00404473,15
1735,Other European Language (EU): Bulgarian,Kingston upon Thames,471,0.00307269,16
1736,Russian,Kingston upon Thames,467,0.00304659,17
1737,Other European Language (EU): Greek,Kingston upon Thames,452,0.00294874,18
1738,East Asian Language: Tagalog-Filipino,Kingston upon Thames,450,0.00293569,19
1739,South Asian Language: Bengali (with Sylheti and Chatgaya),Kingston upon Thames,430,0.00280521,20
1740,East Asian Language: Japanese,Kingston upon Thames,380,0.00247903,21
1741,Other European Language (EU): Hungarian,Kingston upon Thames,373,0.00243336,22
1742,East Asian Language: Cantonese Chinese,Kingston upon Thames,355,0.00231593,23
1743,Other European Language (EU): Lithuanian,Kingston upon Thames,341,0.0022246,24
1744,Turkish,Kingston upon Thames,288,0.00187884,25
1745,South Asian Language: Sinhala,Kingston upon Thames,269,0.00175489,26
1746,South Asian Language: Malayalam,Kingston upon Thames,248,0.00161789,27
1747,South Asian Language: Hindi,Kingston upon Thames,235,0.00153308,28
1748,Other European Language (EU): Slovak,Kingston upon Thames,234,0.00152656,29
1749,Other European Language (non EU): Northern European Language (non EU),Kingston upon Thames,195,0.00127213,30
1750,West Central Asian Language: Kurdish,Kingston upon Thames,188,0.00122647,31
1751,Other European Language (EU): Romanian,Kingston upon Thames,172,0.00112209,32
1752,Other European Language (non EU): Albanian,Kingston upon Thames,172,0.00112209,33
1753,West-Central Asian Language: Pashto,Kingston upon Thames,171,0.00111556,34
1754,East Asian Language: Thai,Kingston upon Thames,170,0.00110904,35
1755,Other European Language (EU): Swedish,Kingston upon Thames,164,0.0010699,36
1756,African Language: Afrikaans,Kingston upon Thames,148,9.66E-04,37
1757,Other European Language (EU): Czech,Kingston upon Thames,145,9.46E-04,38
1758,Other European Language (EU): Dutch,Kingston upon Thames,136,8.87E-04,39
1759,East Asian Language: Mandarin Chinese,Kingston upon Thames,129,8.42E-04,40
1760,West Other European Language (non EU): Serbian-Croatian-Bosnianr Central Asian Language: West or Central Asian Language (all other),Kingston upon Thames,117,7.63E-04,41
1761,West or Central Asian Language: West or Central Asian Language (all other),Kingston upon Thames,113,7.37E-04,42
1762,Other Languages: All other languages,Kingston upon Thames,111,7.24E-04,43
1763,South Asian Language: Nepalese,Kingston upon Thames,97,6.33E-04,44
1764,Other European Language (EU): Finnish,Kingston upon Thames,86,5.61E-04,45
1765,African Language: Shona,Kingston upon Thames,74,4.83E-04,46
1766,East Asian Language: Vietnamese,Kingston upon Thames,73,4.76E-04,47
1767,African Language: African language (all other),Kingston upon Thames,73,4.76E-04,48
1768,African Language: Somali,Kingston upon Thames,68,4.44E-04,49
1769,East Asian Language: Malay,Kingston upon Thames,67,4.37E-04,50
1770,Other European Language (EU): Danish,Kingston upon Thames,65,4.24E-04,51
1771,East Asian Language: East Asian Language (all other),Kingston upon Thames,62,4.04E-04,52
1772,Other European Language (non EU): Ukrainian,Kingston upon Thames,55,3.59E-04,53
1773,South Asian Language: South Asian Language (all other),Kingston upon Thames,49,3.20E-04,54
1774,South Asian Language: Marathi,Kingston upon Thames,41,2.67E-04,55
1775,Other European Language (EU): Latvian,Kingston upon Thames,38,2.48E-04,56
1776,South Asian Language: Telugu,Kingston upon Thames,33,2.15E-04,57
1777,Welsh Cymraeg (in England only),Kingston upon Thames,31,2.02E-04,58
1778,African Language: Luganda,Kingston upon Thames,30,1.96E-04,59
1779,Sign Language: Any Sign Communication System,Kingston upon Thames,29,1.89E-04,60
1780,Other European Language (EU): Estonian,Kingston upon Thames,26,1.70E-04,61
1781,Sign Language: British sign language,Kingston upon Thames,25,1.63E-04,62
1782,African Language: Swahili-Kiswahili,Kingston upon Thames,24,1.57E-04,63
1783,West or Central Asian Language: Hebrew,Kingston upon Thames,23,1.50E-04,64
1784,African Language: Tigrinya,Kingston upon Thames,23,1.50E-04,65
1785,African Language: Akan,Kingston upon Thames,23,1.50E-04,66
1786,African Language: West African language (all other),Kingston upon Thames,23,1.50E-04,67
1787,Other European Language (EU): Any other European Language (EU),Kingston upon Thames,22,1.44E-04,68
1788,Other European Language (EU): Maltese,Kingston upon Thames,21,1.37E-04,69
1789,Oceanic - Australian language (any),Kingston upon Thames,17,1.11E-04,70
1790,African Language: Lingala,Kingston upon Thames,16,1.04E-04,71
1791,African Language: Amharic,Kingston upon Thames,15,9.79E-05,72
1792,African Language: Yoruba,Kingston upon Thames,13,8.48E-05,73
1793,African Language: Any other Nigerian language,Kingston upon Thames,13,8.48E-05,74
1794,Other UK language: Total,Kingston upon Thames,12,7.83E-05,75
1795,Other European Language (non EU): Any other Eastern European Language (non EU),Kingston upon Thames,12,7.83E-05,76
1796,African Language: Igbo,Kingston upon Thames,11,7.18E-05,77
1797,Sign Language: Sign Language (all other),Kingston upon Thames,7,4.57E-05,78
1798,Other European Language (non-national): Romani language (any),Kingston upon Thames,4,2.61E-05,79
1799,Other European Language (EU): Slovenian,Kingston upon Thames,3,1.96E-05,80
1800,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari),Kingston upon Thames,1,6.52E-06,81
1801,North-South American language (any),Kingston upon Thames,1,6.52E-06,82
1802,African Language: Krio,Kingston upon Thames,1,6.52E-06,83
1803,Other European Language (non-national): Yiddish,Kingston upon Thames,0,0,84
1804,Caribbean Creole: Caribbean Creole (English-based),Kingston upon Thames,0,0,85
1805,Caribbean Creole: Caribbean Creole (all other),Kingston upon Thames,0,0,86
1806,English (English or Welsh if in Wales),Lambeth,231326,0.79745587,1
1807,Portuguese,Lambeth,9897,0.03411817,2
1808,Spanish,Lambeth,7152,0.02465527,3
1809,Other European Language (EU): Polish,Lambeth,6451,0.02223869,4
1810,French,Lambeth,5098,0.01757446,5
1811,Other European Language (EU): Italian,Lambeth,3110,0.01072118,6
1812,African Language: Somali,Lambeth,2354,0.008115,7
1813,Arabic,Lambeth,1485,0.00511928,8
1814,Other European Language (EU): German,Lambeth,1408,0.00485383,9
1815,African Language: Tigrinya,Lambeth,1107,0.00381619,10
1816,African Language: Akan,Lambeth,1039,0.00358177,11
1817,East Asian Language: All other Chinese,Lambeth,1029,0.0035473,12
1818,South Asian Language: Urdu,Lambeth,1001,0.00345077,13
1819,South Asian Language: Bengali (with Sylheti and Chatgaya),Lambeth,996,0.00343354,14
1820,East Asian Language: Tagalog-Filipino,Lambeth,775,0.00267168,15
1821,South Asian Language: Gujarati,Lambeth,720,0.00248207,16
1822,African Language: Yoruba,Lambeth,711,0.00245105,17
1823,Turkish,Lambeth,699,0.00240968,18
1824,East Asian Language: Cantonese Chinese,Lambeth,688,0.00237176,19
1825,Russian,Lambeth,642,0.00221318,20
1826,Other European Language (EU): Hungarian,Lambeth,624,0.00215113,21
1827,African Language: Amharic,Lambeth,624,0.00215113,22
1828,Other European Language (EU): Bulgarian,Lambeth,579,0.001996,23
1829,Other European Language (EU): Greek,Lambeth,575,0.00198221,24
1830,Other European Language (EU): Romanian,Lambeth,538,0.00185466,25
1831,Other European Language (non EU): Albanian,Lambeth,488,0.00168229,26
1832,Other European Language (EU): Lithuanian,Lambeth,487,0.00167885,27
1833,Other European Language (EU): Swedish,Lambeth,399,0.00137548,28
1834,Other European Language (EU): Slovak,Lambeth,394,0.00135825,29
1835,Other European Language (EU): Dutch,Lambeth,380,0.00130998,30
1836,East Asian Language: Vietnamese,Lambeth,372,0.0012824,31
1837,West or Central Asian Language: Persian-Farsi,Lambeth,351,0.00121001,32
1838,Other Languages: All other languages,Lambeth,329,0.00113417,33
1839,African Language: African language (all other),Lambeth,309,0.00106522,34
1840,Other European Language (EU): Czech,Lambeth,300,0.0010342,35
1841,East Asian Language: Japanese,Lambeth,299,0.00103075,36
1842,African Language: West African language (all other),Lambeth,275,9.48E-04,37
1843,West Central Asian Language: Kurdish,Lambeth,266,9.17E-04,38
1844,West Other European Language (non EU): Serbian-Croatian-Bosnianr Central Asian Language: West or Central Asian Language (all other),Lambeth,244,8.41E-04,39
1845,East Asian Language: Korean,Lambeth,237,8.17E-04,40
1846,South Asian Language: Panjabi,Lambeth,236,8.14E-04,41
1847,West-Central Asian Language: Pashto,Lambeth,231,7.96E-04,42
1848,African Language: Any other Nigerian language,Lambeth,225,7.76E-04,43
1849,African Language: Lingala,Lambeth,220,7.58E-04,44
1850,African Language: Igbo,Lambeth,219,7.55E-04,45
1851,South Asian Language: Hindi,Lambeth,216,7.45E-04,46
1852,East Asian Language: Mandarin Chinese,Lambeth,199,6.86E-04,47
1853,South Asian Language: Tamil,Lambeth,189,6.52E-04,48
1854,East Asian Language: Thai,Lambeth,177,6.10E-04,49
1855,South Asian Language: South Asian Language (all other),Lambeth,145,5.00E-04,50
1856,Other European Language (EU): Danish,Lambeth,144,4.96E-04,51
1857,Other European Language (EU): Latvian,Lambeth,143,4.93E-04,52
1858,Other European Language (non EU): Northern European Language (non EU),Lambeth,142,4.90E-04,53
1859,East Asian Language: East Asian Language (all other),Lambeth,138,4.76E-04,54
1860,Other European Language (EU): Finnish,Lambeth,116,4.00E-04,55
1861,West or Central Asian Language: West or Central Asian Language (all other),Lambeth,116,4.00E-04,56
1862,African Language: Swahili-Kiswahili,Lambeth,111,3.83E-04,57
1863,African Language: Afrikaans,Lambeth,111,3.83E-04,58
1864,African Language: Luganda,Lambeth,105,3.62E-04,59
1865,Other European Language (EU): Maltese,Lambeth,104,3.59E-04,60
1866,South Asian Language: Nepalese,Lambeth,93,3.21E-04,61
1867,Sign Language: British sign language,Lambeth,92,3.17E-04,62
1868,Other European Language (non EU): Ukrainian,Lambeth,91,3.14E-04,63
1869,Other European Language (EU): Any other European Language (EU),Lambeth,89,3.07E-04,64
1870,Welsh Cymraeg (in England only),Lambeth,82,2.83E-04,65
1871,Other UK language: Total,Lambeth,71,2.45E-04,66
1872,Other European Language (EU): Estonian,Lambeth,64,2.21E-04,67
1873,African Language: Krio,Lambeth,63,2.17E-04,68
