languageID,language,borough,speakersNum,speakersProportion,languageRank
28,Tamil,Sutton,2715,0.0148865,2
28,Tamil,Waltham Forest,2354,0.00959172,8
29,Tigrinya,Lambeth,1107,0.00381619,10
30,Turkish,Bexley,686,0.00201509,5
30,Turkish,Bromley,803,0.00270098,4
30,Turkish,Croydon,1482,0.00427766,8
30,Turkish,Enfield,18378,0.06173495,2
30,Turkish,Greenwich,1408,0.00582601,9
30,Turkish,Hackney,10551,0.04502605,2
30,Turkish,Haringey,11994,0.04920212,2
30,Turkish,Havering,425,0.00185504,7
30,Turkish,Islington,4194,0.02113602,2
30,Turkish,Lewisham,2227,0.0084917,6
30,Turkish,Southwark,1961,0.00712467,8
30,Turkish,Waltham Forest,3868,0.01576074,5
31,Urdu,Barking and Dagenham,2975,0.01703241,4
31,Urdu,Brent,4571,0.01537091,9
31,Urdu,Croydon,3906,0.01127432,5
31,Urdu,Ealing,5128,0.01588378,8
31,Urdu,Harrow,2251,0.00981264,8
31,Urdu,Havering,411,0.00179393,9
31,Urdu,Hillingdon,3344,0.01276389,5
31,Urdu,Hounslow,5095,0.02107767,4
31,Urdu,Kingston upon Thames,1039,0.00677818,7
31,Urdu,Merton,3363,0.01765354,4
31,Urdu,Newham,12802,0.04378309,3
31,Urdu,Redbridge,10093,0.03794817,2
31,Urdu,Sutton,961,0.00526922,4
31,Urdu,Waltham Forest,8034,0.03273572,2
31,Urdu,Wandsworth,4716,0.01609666,3
32,Yiddish,Hackney,2993,0.01277253,7
33,Yoruba,Bexley,554,0.00162735,7
33,Yoruba,Greenwich,1380,0.00571015,10
